year,state_min_wage,state,lh_employment,federal_min_wage,eff_min_wage,log_min_wage,log_employment,minwage_change
2021,13.0,CT,134.53333333333333,7.25,13.0,2.5649493574615367,4.901811999811344,1.0
2022,14.0,CT,148.9,7.25,14.0,2.6390573296152584,5.003274939689963,1.0
2023,14.0,CT,153.75,7.25,14.0,2.6390573296152584,5.035327906686628,0.0
2000,6.15,DC,48.15,5.15,6.15,1.8164520818184267,3.8743211382441345,
2001,6.15,DC,47.68333333333334,5.15,6.15,1.8164520818184267,3.8645819308280096,0.0
2002,6.15,DC,48.225,5.15,6.15,1.8164520818184267,3.875877558791793,0.0
2003,6.15,DC,49.55833333333334,5.15,6.15,1.8164520818184267,3.903150426924548,0.0
2004,6.15,DC,51.025,5.15,6.15,1.8164520818184267,3.9323157086959086,0.0
2005,6.6,DC,53.775,5.15,6.6,1.8870696490323797,3.984808675153794,0.4499999999999993
2006,7.0,DC,54.21666666666667,5.15,7.0,1.9459101490553132,3.992988364251251,0.40000000000000036
2007,7.0,DC,55.425000000000004,5.85,7.0,1.9459101490553132,4.015030755502376,0.0
2008,7.0,DC,57.775,6.55,7.0,1.9459101490553132,4.056556156160444,0.0
2009,7.55,DC,58.15,7.25,7.55,2.0215475632609334,4.063025878964673,0.5499999999999998
2010,8.25,DC,59.68333333333334,7.25,8.25,2.1102132003465894,4.089052807776332,0.7000000000000002
2011,8.25,DC,62.28333333333333,7.25,8.25,2.1102132003465894,4.131693867263383,0.0
2012,8.25,DC,65.425,7.25,8.25,2.1102132003465894,4.18090444841621,0.0
2013,8.25,DC,67.90833333333333,7.25,8.25,2.1102132003465894,4.218158756538174,0.0
2014,9.5,DC,70.09166666666667,7.25,9.5,2.2512917986064953,4.249803909180391,1.25
2015,10.5,DC,73.175,7.25,10.5,2.3513752571634776,4.29285383257795,1.0
2016,11.5,DC,74.46666666666667,7.25,11.5,2.4423470353692043,4.31035159796699,1.0
2017,12.5,DC,76.97500000000001,7.25,12.5,2.5257286443082556,4.343480693810564,1.0
2018,13.25,DC,79.81666666666666,7.25,13.25,2.583997552432231,4.379732338120508,0.75
2019,14.0,DC,81.7,7.25,14.0,2.6390573296152584,4.403054001865957,0.75
2020,15.0,DC,47.13333333333333,7.25,15.0,2.70805020110221,3.8529804647943626,1.0
2021,15.2,DC,49.65833333333333,7.25,15.2,2.7212954278522306,3.9051662179649327,0.1999999999999993
2022,16.1,DC,67.84166666666667,7.25,16.1,2.7788192719904172,4.217176558791932,0.9000000000000021
2023,16.5,DC,75.90833333333333,7.25,16.5,2.803360380906535,4.3295264719627635,0.3999999999999986
2000,5.65,DE,37.03333333333333,5.15,5.65,1.7316555451583497,3.6118184079774744,
2001,6.15,DE,37.483333333333334,5.15,6.15,1.8164520818184267,3.623896389737215,0.5
2002,6.15,DE,38.733333333333334,5.15,6.15,1.8164520818184267,3.656700555749701,0.0
2003,6.15,DE,39.375,5.15,6.15,1.8164520818184267,3.6731310971457973,0.0
2004,6.15,DE,41.1,5.15,6.15,1.8164520818184267,3.716008121502189,0.0
2005,6.15,DE,41.775,5.15,6.15,1.8164520818184267,3.7322980744814576,0.0
2006,6.15,DE,42.016666666666666,5.15,6.15,1.8164520818184267,3.7380663649658192,0.0
2007,6.65,DE,41.891666666666666,5.85,6.65,1.8946168546677629,3.735086920910529,0.5
2008,7.15,DE,42.458333333333336,6.55,7.15,1.9671123567059163,3.7485232028747792,0.5
2009,7.15,DE,42.050000000000004,7.25,7.25,1.9810014688665833,3.738859386418957,0.09999999999999964
2010,7.25,DE,43.625,7.25,7.25,1.9810014688665833,3.7756303805225913,0.0
2011,7.25,DE,44.68333333333334,7.25,7.25,1.9810014688665833,3.7996005760138587,0.0
2012,7.25,DE,45.01666666666667,7.25,7.25,1.9810014688665833,3.807032791570515,0.0
2013,7.25,DE,45.975,7.25,7.25,1.9810014688665833,3.828097770490385,0.0
2014,7.75,DE,46.98333333333333,7.25,7.75,2.0476928433652555,3.8497929288920116,0.5
2015,8.25,DE,48.63333333333333,7.25,8.25,2.1102132003465894,3.88430916686063,0.5
2016,8.25,DE,49.449999999999996,7.25,8.25,2.1102132003465894,3.900962058068721,0.0
2017,8.25,DE,50.36666666666667,7.25,8.25,2.1102132003465894,3.9193295806105843,0.0
2018,8.25,DE,51.791666666666664,7.25,8.25,2.1102132003465894,3.9472292611627653,0.0
2019,9.25,DE,53.03333333333333,7.25,9.25,2.224623551524334,3.9709206466756313,1.0
2020,9.25,DE,41.1,7.25,9.25,2.224623551524334,3.716008121502189,0.0
2021,9.25,DE,45.64166666666667,7.25,9.25,2.224623551524334,3.8208210420016755,0.0
2022,10.5,DE,50.05833333333334,7.25,10.5,2.3513752571634776,3.9131889920681155,1.25
2023,11.75,DE,52.708333333333336,7.25,11.75,2.463853240590168,3.964773570813675,1.25
2006,6.4,FL,965.0,5.15,6.4,1.8562979903656263,6.872128101338986,
2007,6.67,FL,983.8166666666666,5.85,6.67,1.8976198599275322,6.891439565330432,0.2699999999999996
2008,6.79,FL,970.7083333333334,6.55,6.79,1.9154509415706047,6.878026045551356,0.1200000000000001
2009,7.21,FL,927.0666666666666,7.25,7.25,1.9810014688665833,6.832025479556753,0.45999999999999996
2010,7.25,FL,931.6166666666667,7.25,7.25,1.9810014688665833,6.836921428217981,0.0
2011,7.25,FL,957.5166666666668,7.25,7.25,1.9810014688665833,6.864343127343694,0.0
2012,7.67,FL,998.4166666666666,7.25,7.67,2.0373166153791646,6.906170690851899,0.41999999999999993
2013,7.79,FL,1038.5583333333334,7.25,7.79,2.052840859882657,6.945588812497757,0.1200000000000001
2014,7.93,FL,1086.05,7.25,7.93,2.0706530356467567,6.9903025399497025,0.13999999999999968
2015,8.05,FL,1134.95,7.25,8.05,2.0856720914304723,7.034343876081711,0.120000000000001
2016,8.05,FL,1175.7583333333334,7.25,8.05,2.0856720914304723,7.069668608474574,0.0
2017,8.1,FL,1201.4916666666666,7.25,8.1,2.0918640616783932,7.0913191193777445,0.049999999999998934
2018,8.25,FL,1230.3416666666667,7.25,8.25,2.1102132003465894,7.115047187571137,0.15000000000000036
2019,8.46,FL,1259.6833333333334,7.25,8.46,2.135349173618132,7.138615645607346,0.21000000000000085
2020,8.56,FL,1011.4499999999999,7.25,8.56,2.1471001901536506,6.919140223848701,0.09999999999999964
2021,10.0,FL,1124.0166666666667,7.25,10.0,2.302585092994046,7.024663858338958,1.4399999999999995
2022,10.0,FL,1242.0416666666667,7.25,10.0,2.302585092994046,7.124511809971495,0.0
2023,11.0,FL,1301.1666666666667,7.25,11.0,2.3978952727983707,7.171016576892236,1.0
2000,3.25,GA,337.28333333333336,5.15,5.15,1.6389967146756448,5.820923328849559,
2001,3.25,GA,339.10833333333335,5.15,5.15,1.6389967146756448,5.826319623684644,0.0
2002,5.15,GA,340.3666666666667,5.15,5.15,1.6389967146756448,5.830023467893382,0.0
2003,5.15,GA,348.075,5.15,5.15,1.6389967146756448,5.852417973795349,0.0
2004,5.15,GA,360.0,5.15,5.15,1.6389967146756448,5.886104031450156,0.0
2005,5.15,GA,371.8833333333334,5.15,5.15,1.6389967146756448,5.918580185012403,0.0
2006,5.15,GA,383.9583333333333,5.15,5.15,1.6389967146756448,5.950534039755978,0.0
2007,5.15,GA,395.9083333333333,5.85,5.85,1.766441661243765,5.9811827029770255,0.6999999999999993
2008,5.15,GA,393.80833333333334,6.55,6.55,1.8794650496471605,5.975864327315138,0.7000000000000002
2009,5.15,GA,379.44166666666666,7.25,7.25,1.9810014688665833,5.938700873997658,0.7000000000000002
2010,5.15,GA,373.97499999999997,7.25,7.25,1.9810014688665833,5.9241889502605245,0.0
2011,5.15,GA,381.7416666666666,7.25,7.25,1.9810014688665833,5.944744114565565,0.0
